User @,Comment Text,Time,Likes,Url
pinckeyyy,"Ngl the 4,s are better value for money",22-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
mochidabomb,Half my family had these 😭,22-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
clay_vrrrrr,@✝️Clay_vr✝️: I need it bc I’m using old Xbox one s and want to start making YouTube videos on gaming and I edit on CapCut,22-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
victor_vc0106,Can I get the pc?,21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
bullsoloez,@DaHoodBull:hi i need this pc because i have macbook kn trying to play some games its so laggy i need this pc for gaming thanks for reading,21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
salim173376,Id rather buy sone logitechs tbh but they still look like great headphones,21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
jadan_2f4st,Pls could I have the pc,21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
nglrafisishim,"If you are still doing the giveaway of the PC, I’ve been following for a long time and I really need it to play with my friends because I have nothing",21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
willow_2396,I don’t actually like lots of noice blocking cus I don’t know what’s going on around me then,13-11-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
eluqx_,how do you find the backgrounds??,12-11-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
dim.kid,Sony was the first noise cancellation headphones,7-12-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
kjojo.26,yes. my favorite headphones. legit only way I am able to do my graduate school HW with my 3 kids around.,8-11-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
deadsh0t33,i have the xm4 and they are amazing,1-12-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
mind_set_is_key0,Yes,30-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
oanebokoane,vid 89 asking for the free pc,30-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
yrtkfnnn,Seems like a 10x better version of the Apple air pod maxes,29-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
ttv_gabey69,I might need them👍👍👍👍,29-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
erinnicole.03,me watching on the sony WH1000MX5 🙏,27-12-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
dust016,I love your tik tok page,27-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
ayosin125,"whats a great alternative to this or xm4 (I really want xm4 nee but no one sell them new anymore, not even sony 😭)",27-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
6eyesz,happy with my 80 bucks skullcandy,24-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
kenp2p,brother got the Rollie!,24-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
ilovepasta_8,does the sound leak? like can others hear it when you're listening,18-12-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
userleovijay,How about beats ?,16-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
akerzypcs,Super clean,12-12-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
season_ur_mom,What is better for their price Sony xm4 or xm5?,5-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
blacksted2,looks great,23-12-2023,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
johnnyjostar54,Is it good for gaming?,22-12-2023,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
oakley_226,How does he have so much money omg,18-12-2023,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
vvhm6,It’s good but it’s so expensive so if u want a really good sound quality with good noise cancellation get the Anker life q30,31-1-2024,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
jacobfletcher034,Me listening to this with my Sony 1000XM5 on 🎧,2-1-2024,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
archibigballs,Immaculate album choice,29-12-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
msa_loverrrrr,I gót the for 278€,29-12-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
adavon.11,Where u get those pants,1w ago,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
tempegvl,my best investment so far!,1w ago,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
pickl_pug,"these, those beats you reviewed or airpod maxes? plzzzz i NEED an answer!!! 🙏",8-3-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
userkjgy_gkl,what’s the best audio setting for xm5?,17-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
jerome.cologne,pants from where😮‍💨,16-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
doomy81,Yes,14-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
chungusjk,too broke 😭,29-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
_christian_19,400 is od,21-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
nonononono8901,do they break as easy as the beats or no bc ima about to get one of them,24-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
rayanalhalabixo,I have the previous version and they stop when you talk so you can’t sing does this model do that too or ?,29-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
fin.hopley,Some people are so down bad for the pc lol,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
md_swervin,🔥,20-10-2023,10,https://www.tiktok.com/@tussalty/video/7291715930495651118
quick_snipes_1,😂,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
black_spyro,😍😍,24-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
john_erfan,@maxmax16390,20-10-2023,11,https://www.tiktok.com/@tussalty/video/7291715930495651118
brandonnmidway,W,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
jack.so.cool,@Isa,29-11-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
jada._.vu,@AF5,12-12-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
yvanlokhmotov,"I have them, they're amazing 😅",29-10-2023,8,https://www.tiktok.com/@tussalty/video/7291715930495651118
yaman.oz,what the fuck yvan,18-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
